2024-12-19 10:27:36.242 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/corders/ListCordersCmd.class]
2024-12-19 10:27:36.242 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/corders/ListUnitemLogCmd.class]
2024-12-19 10:27:36.242 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/equipmentAccount/ChangeStateEquipmentAccountCmd.class]
2024-12-19 10:27:36.242 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/equipmentAccount/DeleteEquipmentAccountCmd.class]
2024-12-19 10:27:36.243 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/equipmentAccount/ListEquipmentAccountCmd.class]
2024-12-19 10:27:36.243 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/equipmentAccount/MoveEquipmentAccountCmd.class]
2024-12-19 10:27:36.243 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/equipmentAccount/SaveEquipmentAccountCmd.class]
2024-12-19 10:27:36.243 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/equipmentAccount/UpdateEquipmentAccountCmd.class]
2024-12-19 10:27:36.243 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/equipmentOperatingLog/DeleteEquipmentOperatingLogCmd.class]
2024-12-19 10:27:36.243 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/equipmentOperatingLog/ListEquipmentOperatingLogCmd.class]
2024-12-19 10:27:36.243 [main] DEBUG c.n.p.c.a.NewlandPropertyCmdDiscoveryRegistrar$1 -Identified candidate component class: file [/Users/simon/IdeaProjects/me/communityProperty/communityService/communityService/service-common/target/classes/com/newland/property/common/cmd/equipmentOperatingLog/SaveEquipmentOperatingLogCmd.class]
